step 0: train loss 0.9465, val loss 0.8862
iter 330: loss 1.3553, time 4505.93ms, mfu 0.05%
iter 340: loss 0.6180, time 4253.83ms, mfu 0.05%
iter 350: loss 0.7362, time 4351.46ms, mfu 0.05%
iter 360: loss 0.6785, time 4408.14ms, mfu 0.05%
iter 370: loss 0.5425, time 4394.05ms, mfu 0.05%
iter 380: loss 0.7264, time 4403.83ms, mfu 0.05%
iter 390: loss 1.2563, time 4444.95ms, mfu 0.05%
iter 400: loss 0.4483, time 4450.89ms, mfu 0.05%
iter 410: loss 0.9799, time 4515.17ms, mfu 0.05%
iter 420: loss 1.1146, time 4471.00ms, mfu 0.05%
iter 430: loss 0.5691, time 4431.17ms, mfu 0.05%
iter 440: loss 0.7195, time 4539.29ms, mfu 0.05%
iter 450: loss 0.6364, time 4459.82ms, mfu 0.05%
iter 460: loss 0.7459, time 4468.72ms, mfu 0.05%
iter 470: loss 0.6933, time 4474.13ms, mfu 0.05%
iter 480: loss 0.6838, time 4486.90ms, mfu 0.05%
iter 490: loss 1.1667, time 4441.24ms, mfu 0.05%
step 500: train loss 0.7471, val loss 0.7545
saving checkpoint to out-customer-sentiment
iter 500: loss 0.8587, time 10508.19ms, mfu 0.05%
iter 510: loss 0.6922, time 4440.16ms, mfu 0.05%
iter 520: loss 0.7251, time 4846.32ms, mfu 0.05%
iter 530: loss 0.6787, time 4659.39ms, mfu 0.05%
iter 540: loss 0.4749, time 4541.21ms, mfu 0.05%
iter 550: loss 0.7820, time 4694.77ms, mfu 0.05%
iter 560: loss 0.6365, time 4493.52ms, mfu 0.05%
iter 570: loss 0.5977, time 4465.56ms, mfu 0.05%
iter 580: loss 0.7526, time 4616.27ms, mfu 0.05%
iter 590: loss 0.7142, time 4493.58ms, mfu 0.05%
iter 600: loss 0.6872, time 4514.11ms, mfu 0.05%
iter 610: loss 1.1467, time 4511.57ms, mfu 0.05%
iter 620: loss 0.6214, time 4484.71ms, mfu 0.05%
iter 630: loss 0.8425, time 4503.19ms, mfu 0.05%
iter 640: loss 0.6243, time 4493.57ms, mfu 0.05%
iter 650: loss 0.7189, time 4480.25ms, mfu 0.05%
iter 660: loss 0.7084, time 4497.07ms, mfu 0.05%
iter 670: loss 0.6690, time 4495.04ms, mfu 0.05%
iter 680: loss 0.6386, time 4571.58ms, mfu 0.05%
iter 690: loss 1.0480, time 4664.85ms, mfu 0.05%
iter 700: loss 0.4758, time 4670.36ms, mfu 0.05%
iter 710: loss 0.6692, time 4659.29ms, mfu 0.05%
iter 720: loss 0.6454, time 4581.96ms, mfu 0.05%
iter 730: loss 0.6463, time 4582.35ms, mfu 0.05%
iter 740: loss 0.7097, time 4577.19ms, mfu 0.05%
iter 750: loss 0.6399, time 4584.55ms, mfu 0.05%
iter 760: loss 0.7665, time 4774.49ms, mfu 0.05%
iter 770: loss 0.6085, time 4594.92ms, mfu 0.05%
iter 780: loss 0.6325, time 4599.97ms, mfu 0.05%
iter 790: loss 1.2946, time 4619.20ms, mfu 0.05%
iter 800: loss 0.7213, time 4623.29ms, mfu 0.05%
iter 810: loss 0.5172, time 4568.76ms, mfu 0.05%
iter 820: loss 1.1217, time 4735.20ms, mfu 0.05%
iter 830: loss 0.9732, time 4624.96ms, mfu 0.05%
iter 840: loss 0.6643, time 4619.88ms, mfu 0.05%
iter 850: loss 0.6575, time 4605.19ms, mfu 0.05%
iter 860: loss 0.7243, time 4781.57ms, mfu 0.05%
iter 870: loss 0.7514, time 4538.38ms, mfu 0.05%
iter 880: loss 0.6713, time 4555.17ms, mfu 0.05%
iter 890: loss 0.8260, time 4553.67ms, mfu 0.05%
iter 900: loss 0.8205, time 4572.57ms, mfu 0.05%
iter 910: loss 0.8526, time 4588.45ms, mfu 0.05%
iter 920: loss 0.7636, time 4559.12ms, mfu 0.05%
iter 930: loss 0.6710, time 4579.58ms, mfu 0.05%
iter 940: loss 0.6440, time 4709.24ms, mfu 0.05%
iter 950: loss 1.0269, time 4609.38ms, mfu 0.05%
iter 960: loss 0.5007, time 4550.22ms, mfu 0.05%
iter 970: loss 0.7145, time 4557.31ms, mfu 0.05%
iter 980: loss 0.5521, time 4583.00ms, mfu 0.05%
iter 990: loss 0.7996, time 4583.43ms, mfu 0.05%
step 1000: train loss 0.7364, val loss 0.8305
saving checkpoint to out-customer-sentiment
iter 1000: loss 1.0259, time 9729.56ms, mfu 0.05%
iter 1010: loss 0.5954, time 4566.80ms, mfu 0.05%
iter 1020: loss 0.5170, time 4612.39ms, mfu 0.05%
iter 1030: loss 0.8955, time 4614.03ms, mfu 0.05%
iter 1040: loss 0.5815, time 4628.76ms, mfu 0.05%
iter 1050: loss 0.5240, time 4600.39ms, mfu 0.05%
iter 1060: loss 0.8774, time 4572.92ms, mfu 0.05%
iter 1070: loss 0.7478, time 4566.29ms, mfu 0.05%
iter 1080: loss 0.8139, time 4920.36ms, mfu 0.05%
iter 1090: loss 0.7113, time 4577.50ms, mfu 0.05%
iter 1100: loss 0.5773, time 4550.34ms, mfu 0.05%
iter 1110: loss 0.7579, time 4595.20ms, mfu 0.05%
iter 1120: loss 0.6935, time 4539.57ms, mfu 0.05%
iter 1130: loss 0.5466, time 4573.24ms, mfu 0.05%
iter 1140: loss 0.6194, time 4556.49ms, mfu 0.05%
iter 1150: loss 0.8466, time 4586.37ms, mfu 0.05%
iter 1160: loss 0.6395, time 4601.15ms, mfu 0.05%
iter 1170: loss 0.6490, time 4865.89ms, mfu 0.05%
iter 1180: loss 0.5103, time 4628.57ms, mfu 0.05%
iter 1190: loss 0.6833, time 4608.42ms, mfu 0.05%
iter 1200: loss 0.7167, time 4684.17ms, mfu 0.05%
iter 1210: loss 1.0193, time 4612.12ms, mfu 0.05%
iter 1220: loss 0.6297, time 4647.52ms, mfu 0.05%
iter 1230: loss 0.8795, time 4699.73ms, mfu 0.05%
iter 1240: loss 0.7567, time 5917.39ms, mfu 0.05%
iter 1250: loss 0.5384, time 5835.33ms, mfu 0.05%
iter 1260: loss 0.5714, time 5608.08ms, mfu 0.05%
iter 1270: loss 0.4388, time 4522.27ms, mfu 0.05%
iter 1280: loss 0.6390, time 4579.77ms, mfu 0.05%
iter 1290: loss 0.5433, time 4672.07ms, mfu 0.05%
iter 1300: loss 1.1646, time 4693.60ms, mfu 0.05%
iter 1310: loss 0.6079, time 4603.82ms, mfu 0.05%
iter 1320: loss 1.1043, time 4617.95ms, mfu 0.05%
iter 1330: loss 0.6636, time 5829.02ms, mfu 0.05%
iter 1340: loss 0.8261, time 4585.96ms, mfu 0.05%
iter 1350: loss 0.8443, time 4679.11ms, mfu 0.05%
iter 1360: loss 0.9799, time 4640.55ms, mfu 0.05%
iter 1370: loss 0.5511, time 4619.65ms, mfu 0.05%
iter 1380: loss 0.7209, time 4999.08ms, mfu 0.05%
iter 1390: loss 0.7404, time 4644.25ms, mfu 0.05%
iter 1400: loss 0.7173, time 4691.23ms, mfu 0.05%
iter 1410: loss 0.9262, time 4666.06ms, mfu 0.05%
iter 1420: loss 0.6229, time 4631.94ms, mfu 0.05%
iter 1430: loss 0.3554, time 4724.32ms, mfu 0.05%
iter 1440: loss 0.7289, time 4607.18ms, mfu 0.05%
iter 1450: loss 0.6183, time 4606.57ms, mfu 0.05%
iter 1460: loss 1.1771, time 4657.11ms, mfu 0.05%
iter 1470: loss 0.5502, time 4958.31ms, mfu 0.05%
iter 1480: loss 0.7416, time 4684.72ms, mfu 0.05%
iter 1490: loss 0.9971, time 4674.03ms, mfu 0.05%
step 1500: train loss 0.6903, val loss 0.8849
saving checkpoint to out-customer-sentiment
iter 1500: loss 0.7819, time 10339.74ms, mfu 0.05%
iter 1510: loss 1.0809, time 4686.04ms, mfu 0.05%
iter 1520: loss 0.7447, time 4881.24ms, mfu 0.05%
iter 1530: loss 0.6056, time 4616.39ms, mfu 0.05%
iter 1540: loss 0.5049, time 4669.55ms, mfu 0.05%
iter 1550: loss 0.7249, time 4675.62ms, mfu 0.05%
iter 1560: loss 0.5977, time 4577.87ms, mfu 0.05%
iter 1570: loss 0.5322, time 4754.94ms, mfu 0.05%
iter 1580: loss 0.6079, time 4670.75ms, mfu 0.05%
iter 1590: loss 0.9191, time 4654.24ms, mfu 0.05%
iter 1600: loss 1.1865, time 4657.78ms, mfu 0.05%
iter 1610: loss 0.5095, time 4768.89ms, mfu 0.05%
iter 1620: loss 0.9328, time 4694.32ms, mfu 0.05%
iter 1630: loss 0.8332, time 4672.22ms, mfu 0.05%
iter 1640: loss 0.7113, time 4646.74ms, mfu 0.05%
iter 1650: loss 1.0432, time 4592.59ms, mfu 0.05%
iter 1660: loss 0.5205, time 5028.63ms, mfu 0.05%
iter 1670: loss 0.7910, time 4633.96ms, mfu 0.05%
iter 1680: loss 0.7588, time 4672.75ms, mfu 0.05%
iter 1690: loss 0.8168, time 4700.31ms, mfu 0.05%
iter 1700: loss 0.6942, time 4615.46ms, mfu 0.05%
iter 1710: loss 0.4888, time 4664.30ms, mfu 0.05%
iter 1720: loss 0.5714, time 4640.57ms, mfu 0.05%
iter 1730: loss 0.9247, time 4679.52ms, mfu 0.05%
iter 1740: loss 0.9119, time 4706.61ms, mfu 0.05%
iter 1750: loss 0.5343, time 4676.41ms, mfu 0.05%
iter 1760: loss 0.6419, time 4662.11ms, mfu 0.05%
iter 1770: loss 0.6171, time 4668.33ms, mfu 0.05%
iter 1780: loss 0.4138, time 4669.67ms, mfu 0.05%
iter 1790: loss 0.7223, time 4602.03ms, mfu 0.05%
iter 1800: loss 1.2296, time 4933.96ms, mfu 0.05%
iter 1810: loss 0.8479, time 4683.32ms, mfu 0.05%
iter 1820: loss 0.7719, time 4656.55ms, mfu 0.05%
iter 1830: loss 1.0175, time 4700.53ms, mfu 0.05%
iter 1840: loss 0.7326, time 4618.81ms, mfu 0.05%
iter 1850: loss 0.4660, time 4667.70ms, mfu 0.05%
iter 1860: loss 0.5888, time 4692.83ms, mfu 0.05%
iter 1870: loss 0.9797, time 4723.30ms, mfu 0.05%
iter 1880: loss 1.0419, time 4686.22ms, mfu 0.05%
iter 1890: loss 0.6966, time 4957.10ms, mfu 0.05%
iter 1900: loss 0.5005, time 4675.17ms, mfu 0.05%
iter 1910: loss 0.7224, time 4669.73ms, mfu 0.05%
iter 1920: loss 1.0882, time 4665.39ms, mfu 0.05%
iter 1930: loss 0.7151, time 4634.18ms, mfu 0.05%
iter 1940: loss 0.7024, time 4995.79ms, mfu 0.05%
iter 1950: loss 0.5194, time 4654.72ms, mfu 0.05%
iter 1960: loss 0.4643, time 4736.69ms, mfu 0.05%
iter 1970: loss 0.4336, time 4749.60ms, mfu 0.05%
iter 1980: loss 0.6918, time 4635.72ms, mfu 0.05%
iter 1990: loss 1.2883, time 4738.92ms, mfu 0.05%
step 2000: train loss 0.6654, val loss 0.9523
saving checkpoint to out-customer-sentiment
iter 2000: loss 0.6338, time 10073.75ms, mfu 0.05%
